# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:52:42.520648+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":5000.0,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626_2"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626_2"",""sky_scan_count"":100,""calibration_scan_count"":100}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1418428460.938,1418.428460937,1.682123435047e+00,16
1418433441.406,1418.433441406,1.822473754905e+00,18
1418438571.232,1418.438571232,1.675350738515e+00,17
1418443545.956,1418.443545956,1.614687231734e+00,17
1418448532.169,1418.448532169,1.709922715776e+00,17
1418453506.893,1418.453506893,1.624438278531e+00,17
1418458493.107,1418.458493107,1.602831501480e+00,17
1418463467.831,1418.463467831,1.748624344161e+00,17
1418468454.044,1418.468454044,1.646432333431e+00,17
1418473428.768,1418.473428768,1.659748754026e+00,17
1418478414.982,1418.478414982,1.758719505412e+00,17
1418483389.706,1418.483389706,1.631692270778e+00,17
1418488519.531,1418.488519531,1.580970470762e+00,18
1418493500.000,1418.493500000,1.696874332197e+00,16
1418498480.469,1418.498480469,1.626259686939e+00,18
1418503460.938,1418.503460937,1.592645341894e+00,16
1418508441.406,1418.508441406,1.699483742612e+00,18
1418513571.232,1418.513571232,1.606623926843e+00,17
1418518545.956,1418.518545956,1.582008919247e+00,17
1418523532.169,1418.523532169,1.715583072602e+00,17
1418528506.893,1418.528506893,1.625479429751e+00,17
1418533493.107,1418.533493107,1.514979419858e+00,17
1418538467.831,1418.538467831,1.630651068058e+00,17
1418543454.044,1418.543454044,1.547185628017e+00,17
1418548428.768,1418.548428768,1.562739820266e+00,17
1418553414.982,1418.553414982,1.667387314836e+00,17
1418558389.706,1418.558389706,1.599330211226e+00,17
1418563519.531,1418.563519531,1.574586286617e+00,18
1418568500.000,1418.568500000,1.699541037058e+00,16
1418573480.469,1418.573480469,1.589960088944e+00,18
1418578460.938,1418.578460938,1.543409338583e+00,16
1418583441.406,1418.583441406,1.674856506802e+00,18
1418588571.232,1418.588571232,1.574813588142e+00,17
1418593545.956,1418.593545956,1.566219030274e+00,17
1418598532.169,1418.598532169,1.708034011117e+00,17
1418603506.893,1418.603506893,1.606069398124e+00,17
1418608493.107,1418.608493107,1.557959254458e+00,17
1418613467.831,1418.613467831,1.723101184570e+00,17
1418618454.044,1418.618454044,1.628758629920e+00,17
1418623428.768,1418.623428768,1.515368163290e+00,17
1418628414.982,1418.628414982,1.621848965241e+00,17
1418633389.706,1418.633389706,1.552904015935e+00,17
1418638519.531,1418.638519531,1.536253061340e+00,18
1418643500.000,1418.643500000,1.705263393037e+00,16
1418648480.469,1418.648480469,1.607965888773e+00,18
1418653460.938,1418.653460938,1.605577655296e+00,16
1418658441.406,1418.658441406,1.761814783721e+00,18
1418663571.232,1418.663571232,1.601393357079e+00,17
1418668545.956,1418.668545956,1.598921755043e+00,17
1418673532.169,1418.673532169,1.676053102607e+00,17
1418678506.893,1418.678506893,1.591510852635e+00,17
1418683493.107,1418.683493107,1.614181599692e+00,17
1418688467.831,1418.688467831,1.716158944845e+00,17
1418693454.044,1418.693454044,1.611823513512e+00,17
1418698428.768,1418.698428768,1.597058658362e+00,17
1418703414.982,1418.703414982,1.691980370148e+00,17
1418708389.706,1418.708389706,1.616222781401e+00,17
1418713519.531,1418.713519531,1.520707327859e+00,18
1418718500.000,1418.718500000,1.613935891796e+00,16
1418723480.469,1418.723480469,1.533136235597e+00,18
1418728460.938,1418.728460937,1.517282146065e+00,16
1418733441.406,1418.733441406,1.640090656415e+00,18
1418738571.232,1418.738571232,1.555645541772e+00,17
1418743545.956,1418.743545956,1.516082114325e+00,17
1418748532.169,1418.748532169,1.668288747303e+00,17
1418753506.893,1418.753506893,1.581511412908e+00,17
1418758493.107,1418.758493107,1.550451754956e+00,17
1418763467.831,1418.763467831,1.689565983094e+00,17
1418768454.044,1418.768454044,1.584198883135e+00,17
1418773428.768,1418.773428768,1.550800643089e+00,17
1418778414.982,1418.778414982,1.683482351173e+00,17
1418783389.706,1418.783389706,1.596222313796e+00,17
1418788519.531,1418.788519531,1.541505642905e+00,18
1418793500.000,1418.793500000,1.648310901248e+00,16
1418798480.469,1418.798480469,1.548413594346e+00,18
1418803460.938,1418.803460937,1.491999135515e+00,16
1418808441.406,1418.808441406,1.607174023490e+00,18
1418813571.232,1418.813571232,1.535593815838e+00,17
1418818545.956,1418.818545956,1.563337956378e+00,17
1418823532.169,1418.823532169,1.698320250751e+00,17
1418828506.893,1418.828506893,1.594093374626e+00,17
1418833493.107,1418.833493107,1.552098799196e+00,17
1418838467.831,1418.838467831,1.683745740069e+00,17
1418843454.044,1418.843454044,1.606877623703e+00,17
1418848428.768,1418.848428768,1.565702165712e+00,17
1418853414.982,1418.853414982,1.673515287288e+00,17
1418858389.706,1418.858389706,1.575298698545e+00,17
1418863519.531,1418.863519531,1.555062305668e+00,18
1418868500.000,1418.868500000,1.735190545432e+00,16
1418873480.469,1418.873480469,1.631061391752e+00,18
1418878460.938,1418.878460937,1.541597049256e+00,16
1418883441.406,1418.883441406,1.765912316885e+00,18
1418888571.232,1418.888571232,1.559753723619e+00,17
1418893545.956,1418.893545956,1.516883453171e+00,17
1418898532.169,1418.898532169,1.627295679628e+00,17
1418903506.893,1418.903506893,1.544514229410e+00,17
1418908493.107,1418.908493107,1.538186052026e+00,17
1418913467.831,1418.913467831,1.687594195384e+00,17
1418918454.044,1418.918454044,1.602135353586e+00,17
1418923428.768,1418.923428768,1.552866221665e+00,17
1418928414.982,1418.928414982,1.677694015690e+00,17
1418933389.706,1418.933389706,1.619576062439e+00,17
1418938519.531,1418.938519531,1.573460205290e+00,18
1418943500.000,1418.943500000,1.705908463501e+00,16
1418948480.469,1418.948480469,1.598569937665e+00,18
1418953460.938,1418.953460938,1.579650659143e+00,16
1418958441.406,1418.958441406,1.713667037064e+00,18
1418963571.232,1418.963571232,1.577736584212e+00,17
1418968545.956,1418.968545956,1.558072516465e+00,17
1418973532.169,1418.973532169,1.672722058712e+00,17
1418978506.893,1418.978506893,1.576897048931e+00,17
1418983493.107,1418.983493107,1.515787424373e+00,17
1418988467.831,1418.988467831,1.629441789701e+00,17
1418993454.044,1418.993454044,1.544716679668e+00,17
1418998428.768,1418.998428768,1.532936009526e+00,17
1419003414.982,1419.003414982,1.718829960424e+00,17
1419008389.706,1419.008389706,1.626698594320e+00,17
1419013519.531,1419.013519531,1.544434577387e+00,18
1419018500.000,1419.018500000,1.671867468390e+00,16
1419023480.469,1419.023480469,1.590057772772e+00,18
1419028460.938,1419.028460938,1.553584659817e+00,16
1419033441.406,1419.033441406,1.692880623320e+00,18
1419038571.232,1419.038571232,1.590856483105e+00,17
1419043545.956,1419.043545956,1.588280498455e+00,17
1419048532.169,1419.048532169,1.707145014166e+00,17
1419053506.893,1419.053506893,1.605661783451e+00,17
1419058493.107,1419.058493107,1.536192935416e+00,17
1419063467.831,1419.063467831,1.640111862274e+00,17
1419068454.044,1419.068454044,1.591146420331e+00,17
1419073428.768,1419.073428768,1.519895506139e+00,17
1419078414.982,1419.078414982,1.635161742608e+00,17
1419083389.706,1419.083389706,1.558466626015e+00,17
1419088519.531,1419.088519531,1.535358367529e+00,18
1419093500.000,1419.093500000,1.712026356759e+00,16
1419098480.469,1419.098480469,1.585916431770e+00,18
1419103460.938,1419.103460937,1.536257021853e+00,16
1419108441.406,1419.108441406,1.697583080408e+00,18
1419113571.232,1419.113571232,1.633791388633e+00,17
1419118545.956,1419.118545956,1.573593344416e+00,17
1419123532.169,1419.123532169,1.725875415349e+00,17
1419128506.893,1419.128506893,1.621187379199e+00,17
1419133493.107,1419.133493107,1.588723926684e+00,17
1419138467.831,1419.138467831,1.767256115447e+00,17
1419143454.044,1419.143454044,1.648492658972e+00,17
1419148428.768,1419.148428768,1.616815017802e+00,17
1419153414.982,1419.153414982,1.655840968339e+00,17
1419158389.706,1419.158389706,1.679375746409e+00,17
1419163519.531,1419.163519531,1.543735746985e+00,18
1419168500.000,1419.168500000,1.666322186776e+00,16
1419173480.469,1419.173480469,1.579751987345e+00,18
1419178460.938,1419.178460937,1.615721327216e+00,16
1419183441.406,1419.183441406,1.821305326336e+00,18
1419188571.232,1419.188571232,1.640889483337e+00,17
1419193545.956,1419.193545956,1.600462425997e+00,17
1419198532.169,1419.198532169,1.680209185865e+00,17
1419203506.893,1419.203506893,1.626709121070e+00,17
1419208441.406,1419.208441406,1.710521638218e+00,26
1419213519.531,1419.213519531,1.840742067471e+00,26
1419218500.000,1419.218500000,1.700368548854e+00,25
1419223480.469,1419.223480469,1.694256082819e+00,26
1419228460.938,1419.228460938,1.844625181249e+00,25
1419233441.406,1419.233441406,1.751304068753e+00,26
1419238519.531,1419.238519531,1.650540879345e+00,26
1419243500.000,1419.243500000,1.789732964903e+00,25
1419248480.469,1419.248480469,1.651808505839e+00,26
1419253460.938,1419.253460938,1.601618266937e+00,25
1419258441.406,1419.258441406,1.723347081175e+00,26
1419263519.531,1419.263519531,1.639220067915e+00,26
1419268500.000,1419.268500000,1.605993221525e+00,25
