# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:33:11.509171+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":5000.0,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626"",""sky_scan_count"":25,""calibration_scan_count"":25}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1418318500.000,1418.318500000,1.271663505855e+00,9
1418323480.469,1418.323480469,1.265884382285e+00,8
1418328460.938,1418.328460938,1.365766058795e+00,9
1418333441.406,1418.333441406,1.299109019452e+00,8
1418338421.875,1418.338421875,1.268098403618e+00,9
1418343402.344,1418.343402344,1.333509446077e+00,8
1418348382.812,1418.348382812,1.283328778276e+00,9
1418353363.281,1418.353363281,1.234992934586e+00,8
1418358343.750,1418.358343750,1.310244723722e+00,9
1418363617.188,1418.363617188,1.249421787129e+00,9
1418368597.656,1418.368597656,1.257004921001e+00,8
1418373578.125,1418.373578125,1.352493346432e+00,9
1418378558.594,1418.378558594,1.278192907753e+00,8
1418383539.062,1418.383539062,1.275350407127e+00,9
1418388519.531,1418.388519531,1.326264249946e+00,8
1418393500.000,1418.393500000,1.310341886706e+00,9
1418398480.469,1418.398480469,1.240766292065e+00,8
1418403460.938,1418.403460938,1.329703583238e+00,9
1418408389.706,1418.408389706,1.589957732437e+00,17
1418413519.531,1418.413519531,1.537067766789e+00,18
1418418500.000,1418.418500000,1.672058039430e+00,16
1418423480.469,1418.423480469,1.564240970946e+00,18
1418428460.938,1418.428460937,1.570176023044e+00,16
1418433441.406,1418.433441406,1.678200160508e+00,18
1418438571.232,1418.438571232,1.535237691887e+00,17
1418443545.956,1418.443545956,1.507733315932e+00,17
1418448532.169,1418.448532169,1.569626462806e+00,17
1418453506.893,1418.453506893,1.498034424836e+00,17
1418458493.107,1418.458493107,1.466481612177e+00,17
1418463467.831,1418.463467831,1.633299041113e+00,17
1418468454.044,1418.468454044,1.520990870868e+00,17
1418473428.768,1418.473428768,1.509646125898e+00,17
1418478414.982,1418.478414982,1.604705527695e+00,17
1418483389.706,1418.483389706,1.501857965155e+00,17
1418488519.531,1418.488519531,1.460715505021e+00,18
1418493500.000,1418.493500000,1.559117087097e+00,16
1418498480.469,1418.498480469,1.501550599397e+00,18
1418503460.938,1418.503460937,1.441574401504e+00,16
1418508441.406,1418.508441406,1.579085639410e+00,18
1418513571.232,1418.513571232,1.477282771105e+00,17
1418518545.956,1418.518545956,1.447887631460e+00,17
1418523532.169,1418.523532169,1.599995624005e+00,17
1418528506.893,1418.528506893,1.509319851479e+00,17
1418533493.107,1418.533493107,1.375205955171e+00,17
1418538467.831,1418.538467831,1.524451703635e+00,17
1418543454.044,1418.543454044,1.434767459812e+00,17
1418548428.768,1418.548428768,1.443194068412e+00,17
1418553414.982,1418.553414982,1.564895225726e+00,17
1418558389.706,1418.558389706,1.492369231794e+00,17
1418563519.531,1418.563519531,1.434875986708e+00,18
1418568500.000,1418.568500000,1.588827709135e+00,16
1418573480.469,1418.573480469,1.462137377698e+00,18
1418578460.938,1418.578460938,1.422478945935e+00,16
1418583441.406,1418.583441406,1.532831639735e+00,18
1418588571.232,1418.588571232,1.429913067277e+00,17
1418593545.956,1418.593545956,1.431072100755e+00,17
1418598532.169,1418.598532169,1.546973671785e+00,17
1418603506.893,1418.603506893,1.474216858455e+00,17
1418608493.107,1418.608493107,1.426527821317e+00,17
